SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
CNc1ncnc2cc(C(=O)N[C@@H]3[C@@H]4CCO[C@@H]4C34CCC4)ccc12,338.4110000000002,2.3589,0.8984002481809655,2,5,0
C[C@@H](CC(=O)O)NC(=O)[C@]12C[C@H]3C[C@H](C(=O)N1)[C@H]2C3,266.297,-0.119499999999999,0.6607909335048006,3,3,0
COc1cc(CN(CC(=O)O)Cc2ccccc2)ccc1C#N,310.35300000000007,2.6536800000000005,0.8507954405037228,1,4,0
C[C@@H](C(=O)NCC1(NC(=O)CCCC(F)(F)F)CC1)C(C)(C)C,336.3980000000001,3.1662000000000017,0.7501496213260156,2,2,0
CC(=O)N1CC[C@@H](CCNC(=O)[C@H](C)Oc2ccccc2)C1,304.39000000000004,1.8285999999999993,0.8720433862520985,1,3,0
NC(=O)C(=O)N1C[C@@H]2CCN(C(=O)Cc3csc(C4CC4)n3)[C@@H]2C1,348.4280000000001,0.1075999999999997,0.7841041931696969,1,5,0
CC(C)C#CC(=O)N[C@H]1CC12CCN(c1nccnc1F)CC2,316.38000000000005,1.7502,0.8446934956755824,1,4,0
NC(=O)[C@@H]1CCCN1S(=O)(=O)Cc1ccccc1Cl,302.783,1.1195000000000004,0.9047405333536495,1,3,0
CCN1CCC(N(C)C(=O)c2cncc(-c3ccccc3)c2)CC1,323.4400000000001,3.3049000000000017,0.8660056023613659,0,3,0
C[C@@H](NS(=O)(=O)c1ccns1)[C@@H]1C[C@H](C(=O)O)C1(C)C,318.4200000000001,1.5568000000000002,0.8585190332923578,2,5,0
COCCC(=O)Nc1cccnc1N1CCC(O)CC1,279.3400000000001,1.0176999999999998,0.8413969674743899,2,5,0
O=C(Cn1nccn1)NC[C@]1(O)CCN(C(=O)Cc2ccccc2)C1,343.387,-0.39959999999999796,0.7433526470204722,2,6,0
CCn1nnc(C)c1CN1CCN(C(=O)[C@H]2C[C@@]2(C)CC)CC1,319.4530000000001,1.6868199999999998,0.8285766332864395,0,5,0
CC(C)(CN1CCCC1)NC(=O)/C=C/c1ccc(C=O)cc1,300.40200000000004,2.5029000000000003,0.6485019168635188,1,3,0
CC(C)[C@H](F)C(=O)N1CC(O)(CNC(=O)c2c[nH]c(=O)cn2)C1,326.32800000000003,-0.9328999999999978,0.6462981115479507,3,5,0
CCN(C)CCC(=O)N[C@@H]1CN(c2cnc(C#N)cn2)C[C@H]1O,318.38100000000003,-0.6442199999999985,0.7181662412188751,2,7,0
C=C1CC(C)(C(=O)N[C@H]2CC(=O)N(C3CN(C(=O)[C@H](C)C#N)C3)C2)C1,344.41500000000013,0.4302800000000009,0.7485520290036317,1,4,0
CC[C@@H](C(=O)NC[C@@H]1CCN(C(=O)CCOC)C1)N(C)C,299.41499999999996,0.32780000000000187,0.7014060721312941,1,4,0
CCOc1ccc(C(=O)NC2CN(C(=O)c3cnn[nH]3)C2)cc1,315.333,0.4577999999999996,0.8345924687235088,2,5,0
CCc1nnc(CNC(=O)c2cn(C)nn2)s1,252.303,0.15899999999999964,0.8373179877160283,1,7,0
O=C(N[C@@H]1CN(c2nccn3nnnc23)C[C@H]1O)[C@H]1CC1(F)F,325.27900000000005,-1.1598000000000006,0.7325590640559566,2,8,0
